Id,Title,Submitter,Accepted track,Content
29,Klasyfikacja danych za pomocą maszyn wektorów nośnych i ich odmian,Jakub Dyrcz,P,"Plakat przedstawia zarówno podstawy teoretyczne maszyny wektorów nośnych (Support Vector Machine, SVM), jak i odnośnik do praktycznego zastosowania. Zaprezentowane zostanie pojęcie klasyfikacji i ogólna idea SVM. Pokażemy związek SVM z przestrzeniami Hilberta z jądrem reprodukującym. Porównamy, pod względem zastosowań najpopularniejsze (liniowe, wielomianowe, gaussowskie). Pojawi się kilka słów na temat metody najmniejszych kwadratów (prawdopodobnie najpopularniejszej opcji regresji) i związku z SVM. Następnie zaprezentowany zostanie klasyfikacja obejmująca więcej niż dwóch klas (Multiclass SVM). Na samym końcu znajdzie się odnośnik do przykładu prezentującego praktyczne zastosowanie Multiclass SVM."
13,Model q-SIRQD: Jak opinie społeczne zmieniają przebieg epidemii?,Rai Ciszewska,P,"Modelowanie rozprzestrzeniania się epidemii w sieciach wielokrotnych, z uwzględnieniem złożonych zachowań ludzkich, jest bardzo ciekawym zjawiskiem, które można opisać modelem matematycznym zaproponowanym przez Anne Chmiel i Roberta Jankowskiego. W niniejszym posterze zbadamy wzajemne oddziaływanie między rozprzestrzenianiem się epidemii a dynamiką opinii. Wykorzystamy model SIRQD do opisania rozprzestrzeniania się epidemii. Dodatkowo sprawdzimy jak postawa agenta, wobec przestrzegania ograniczeń związanych z epidemią, wpływa na jej przebieg. Opinia agenta może ulec zmianie pod wpływem presji społecznej, konformizmu, sytuacji życiowych lub niezależnych działań. Jako podstawowy model opinii wykorzystujemy model q-voter. Cały system stanowi złożony model opinii i dynamiki, w którym zachodzą dwa odrębne procesy."
22,Fraktale i wymiar Hausdorffa - geometria nieskończonej złożoności,Aleksandra Bereźnicka,P,"Fraktale stanowią jedno z najbardziej intrygujących pojęć współczesnej matematyki, łącząc w sobie precyzję nauki i estetykę natury. Ich istotą jest samopodobieństwo – powtarzalność wzorców w różnych skalach – oraz niecałkowity wymiar geometryczny, który pozwala opisywać zjawiska niemożliwe do uchwycenia klasyczną geometrią euklidesową.
Celem niniejszego plakatu jest ukazanie fraktali jako uniwersalnego języka opisu złożoności i porządku ukrytego w pozornym chaosie. Przedstawione zostały podstawowe przykłady fraktali matematycznych – zbiór Cantora, krzywa Kocha i dywan Sierpińskiego wraz z ich kluczowymi własnościami.
W dalszej części omówione zostało występowanie struktur fraktalnych w przyrodzie – od rozgałęzień drzew i układów naczyniowych, po kształt chmur, gór i linii brzegowych – gdzie fraktalność okazuje się najbardziej efektywnym sposobem organizacji przestrzeni. Wskazane są także współczesne zastosowania fraktali w nauce, medycynie, grafice komputerowej i ekonomii, w których pozwalają one modelować i analizować złożone systemy dynamiczne.
Fraktale pokazują, że świat wokół nas nie jest idealnie gładki ani przypadkowy – jest strukturalnie złożony, a zarazem głęboko uporządkowany. Ich badanie odsłania granice między chaosem a harmonią, ujawniając, że matematyka może być nie tylko narzędziem opisu, lecz także źródłem piękna i inspiracji."
58,Matematyczne osobowości - przeróżne liczby i ich własności,Małgorzata Kierzek,P,"Teoria liczb jest jedną z bardziej znanych dziedzin matematyki i nawet osoby nie-matematyczne zdają sobie sprawę z tego, jaka mnogość różnych typów liczb istnieje. Przykładowo o liczbach pierwszych można usłyszeć już w szkole - za to my zajmiemy się przybliżeniem tych mniej znanych, na które mogliście nie trafić podczas całego toku nauczania."
14,Liczby Fibonacciego które są potęgami.,Anna Prucnal,T,"Celem wykładu jest znalezienie wszystkich liczb Fibonacciego, które są potęgami liczb całkowitych. By uzyskać wynik, zostaną wykorzystane narzędzia z teorii liniowych form logarytmów Bakera, mające swoje źródła w rozwiązaniu siódmego problemu Hilberta.
W prelekcji zostaną najpierw przedstawione podstawy teorii liniowych form logarytmów Bakera oraz kluczowe oszacowania, pozwalające nam ograniczyć zbiór rozwiązań różnych równań diofantycznych do zbioru skończonego. Następnie będzie omawiane zagadnienie rozwiązań równań Thuego, czyli równań postaci F(x,y)=m, gdzie F jest wielomianem nierozkładalnym stopnia co najmniej 3 o współczynnikach całkowitych, zaś m jest liczbą całkowitą. Po zapoznaniu słuchaczy z wyżej wymienionymi metodami, zostanie przedstawiony dowód, że jedyne liczby Fibonacciego, które są potęgami (co najmniej drugimi) liczb całkowitych, to F_0=0, F_1=1, F_2=1, F_6=8 oraz F_12=144."
15,Dowód przez rzut makaronem,Tymon Świtalski,T,"W trakcie referatu zostanie pokazane uogólnienie problemu igły Buffona i jego zastosowanie do nietypowego, probabilistycznego dowodu twierdzenia Barbiera w geometrii."
16,Podróż na Księżyc za pomocą funkcji wykładniczej...,Weronika Tokarz,P,"Poster „Podróż na Księżyc za pomocą funkcji wykładniczej” mówi o  zastosowaniu funkcji wykładniczej w kontekście problemu składania kartki papieru. Inspiracją stały się badania Britney Gallivan, która opracowała wzory opisujące zależność pomiędzy liczbą złożeń a długością i grubością papieru. Autorzy udowadniają, że funkcja wykładnicza doskonale opisuje, jak szybko rośnie grubość papieru już po kilkudziesięciu złożeniach. Obliczenia pokazują, iż aby osiągnąć wysokość Mount Everestu, potrzeba około 26 złożeń, a by dotrzeć do Księżyca — aż 42. Plakat łączy w sobie elementy matematyki, fizyki i ciekawostek naukowych, podkreślając zastosowanie funkcji wykładniczej w opisie zjawisk rosnących w tempie wykładniczym oraz ograniczenia praktyczne wynikające z rzeczywistych właściwości materiałów."
19,Mitochondrialna Ewa. Czy wszyscy mamy jednego przodka?,Joanna Rudnicka,P,"Czy cała populacja ma tylko jednego przodka? Na to pytanie pomoże nam odpowiedzieć teoria koalescencji, która zajmuje się badaniem pokrewieństwa w danej grupie. W posterze rozważymy prosty model. Wykorzystamy łańcuchy Markowa oraz liczby Sterlinga II rodzaju, które zdefiniujemy i krótko omówimy. Wyznaczymy liczbę przodków danej populacji w kolejnych pokoleniach wstecz oraz czas jaki potrzebujemy do dojścia do wspólnego przodka."
56,"Spotkanie różniczkowalności i mnogości, czyli wszystkie drogi prowadzą do hipotezy continuum.",Marta Kryger,P,"Na plakacie zajmuję się pytaniem: czy istnieje funkcja przekształcająca prostą rzeczywistą na płaszczyznę tak, że w każdym punkcie co najmniej jedna z jej współrzędnych jest różniczkowalna?
Problem ten, choć sformułowany w języku analizy matematycznej, prowadzi poza jej granice — do fundamentów całej matematyki opartej na aksjomatach teorii mnogości. Okazuje się bowiem, że istnienie takiej funkcji jest równoważne słynnej hipotezie continuum Georga Cantora."
24,Funkcje Cyklometryczne,Izabela Przytuła,T,"definicje funkjci arcsinx, arccosx, arctgx, arctgx
zależności między funkcjami, pochodne oraz całki funkcji
wykresy funkcji"
86,test,Maria Nowacka,S,test
44,Jakie powierzchnie można faktycznie  zaczesać?,Patryk Topór,T,"Klasyczny problem „zaczesania sfery” (ang. *hairy ball theorem*) pyta, czy na sferze można niezerowo i ciągle ustawić wektor w każdym punkcie – czyli, w przenośni, „zaczesać sferę” bez powstawania wirów. Twierdzenie o zaczesaniu sfery, sformułowane i udowodnione przez Henriego Poincarégo oraz Luitzena Egberta Brouwera, głosi, że **na sferze o parzystym wymiarze (w szczególności na sferze  $S^{2}$) nie istnieje ciągłe, wszędzie niezerowe pole styczne**. Innymi słowy, każda próba „zaczesania” sfery musi zakończyć się powstaniem co najmniej jednego punktu, w którym „włosy” stoją pionowo — czyli pole się zeruje.

W referacie przedstawimy uogólnienia tego klasycznego wyniku na **inne powierzchnie**, zarówno **orientowalne**, jak i **nieorientowalne**, oraz rozważymy przypadki **powierzchni z brzegiem**. Odpowiemy na pytanie, **dla których powierzchni istnieje ciągłe, wszędzie niezerowe pole styczne**, czyli które powierzchnie „można faktycznie zaczesać”.

W tym celu wykorzystamy narzędzia topologiczne, w szczególności **charakterystykę Eulera**, która odgrywa kluczową rolę w kryterium istnienia niezerowych pól stycznych. Wskażemy, w których przypadkach „zaczesanie” jest możliwe, a w których — nieuchronnie powstają wiry."
30,Jak krzywe eliptyczne chronią twoje dane?,Jan Kocierz,S,"Kryptografia krzywych eliptycznych (ECC) stanowi jeden z filarów nowoczesnych systemów zabezpieczających dane. Jej kluczowa rola w dzisiejszej informatyce wynika ze zdolności do zapewnienia tego samego poziomu bezpieczeństwa co w przypadku klasycznych systemów (np. opartych na problemie faktoryzacji) przy użyciu znacznie krótszych, a tym samym wydajniejszych obliczeniowo kluczy. Jest ona niezbędnym narzędziem w protokołach bezpiecznej komunikacji (np. TLS), podpisach cyfrowych czy kryptowalutach.

Celem referatu jest omówienie –- od strony matematycznej -– definicji i podstawowych własności krzywych eliptycznych, przybliżenie pojęć związanych z bezpieczeństwem protokołów kryptograficznych bazujących na tych krzywych, a wreszcie przedstawienie działania i zastosowań protokołu wymiany kluczy ECDH (Elliptic Curve Diffie-Hellman). 

W części pierwszej zaprezentujemy klasyczny protokół Diffiego-Hellmana, wyjaśnimy, na czym polega problem logarytmu dyskretnego, oraz wskażemy motywację do poszukiwania rozwiązań wydajniejszych niż ten protokół. Następnie zajmiemy się podstawami matematycznymi -- od definicji krzywej eliptycznej nad ciałem liczb rzeczywistych po kluczową dla kryptografii grupę punktów na krzywej eliptycznej nad ciałem skończonym. Zaprezentujemy również implementację edukacyjną, która zwizualizuje dodawanie punktów. W dalszej części referatu omówimy problem logarytmu dyskretnego na krzywych eliptycznych, sklasyfikujemy ataki na systemy kryptograficzne oparte na ECC i sformułujemy kryteria bezpieczeństwa dla takich systemów. Przedstawimy ponadto działanie protokołu ECDH i zaprezentujemy pewne standardowe krzywe stosowane powszechnie do ochrony danych. Na koniec zademonstrujemy implementację realizującą protokół ECDH przy użyciu nowoczesnej biblioteki cryptography. Dzięki temu będziemy mogli zestawić teorię z jej praktycznymi zastosowaniami."
59,Konstrukcja grupy Spin,Mateusz Czosnek,P,"Celem niniejszego plakatu jest przedstawienie standardowego sposobu konstrukcji podwójnego nakrycia grup $SO(n)$. Opisane zostaną: iloczyn tensorowy przestrzeni wektorowych, algebry Clifforda form kwadratowych, wraz z konstrukcją i elementarnymi własnościami, definicja grupy $Spin(n)$ oraz nieformalna konstrukcja nakrycia $\lambda: Spin(n) \rightarrow SO(n)$."
12,"Albo szybko, albo dokładnie. Opowieść o algorytmach aproksymacyjnych",Jakub Sokołowski,S,"W matematyce oraz informatyce bada się różne rodzaje problemów optymalizacyjnych. Dla wielu z nich udało się opracować efektywne algorytmy, które zawsze pozwalają znaleźć optymalne rozwiązanie. Są jednak i takie, dla których nie znamy algorytmów o zadowalającym czasie działania. Co więcej, mamy poważne powody, żeby przypuszczać, że dla niektórych problemów takie algorytmy w ogóle nie istnieją. Na szczęście okazuje się, że nawet w przypadku bardzo trudnych obliczeniowo problemów nie wszystko jest stracone. Mogą bowiem istnieć dla nich szybkie algorytmy, które zawsze dają rozwiązanie w pewnym określonym sensie bliskie optymalnemu. Są to tak zwane algorytmy aproksymacyjne. W moim referacie chciałbym opowiedzieć o tej fascynującej dziedzinie algorytmiki. Przyjrzymy kilku klasycznym problemom optymalizacji dyskretnej, takim jak problem plecakowy, problem komiwojażera czy problem pokrycia wierzchołkowego. Zastanowimy się, dla których z nich istnieją algorytmy aproksymacyjne, przeanalizujemy ich działanie oraz udowodnimy ich poprawność. Przekonamy się, że są problemy, które można aproksymować z dowolną dokładnością, oraz takie, dla których prawdopodobnie wcale nie jest to możliwe. Przy okazji zetkniemy się z tym, co algorytmicy lubią najbardziej – analizą algorytmów, teorią grafów i złożonością obliczeniową."
25,"Zjawisko Rungego, czyli o tym jak matematyka wygrywa z intuicją.",Klaudia Jaszczerska,T,"Zjawisko Rungego stanowi jedno z najbardziej intrygujących przykładów sytuacji, w której matematyczna rzeczywistość przeczy naszej intuicji. Dotyczy ono interpolacji wielomianowej - procesu, który powinien przybliżać dowolną funkcję wielomianem coraz lepiej wraz ze wzrostem liczby punktów (węzłów). Jednak wbrew oczekiwaniom, dla pewnych funkcji i rozmieszczeń punktów, przybliżenie wielomianowe zaczyna się dramatycznie pogarszać. To zjawisko, po raz pierwszy opisane przez Carla Rungego pod koniec XIX wieku, do dziś stanowi istotny punkt odniesienia w analizie numerycznej.
W wystąpieniu przybliżę istotę wielomianów Czebyszewa, jako rozwiązanie tego problemu, przestawiając je zarówno teoretyczne i wizualnie. Celem prezentacji jest pokazanie, że matematyka nie tylko opisuje świat, ale potrafi również skutecznie korygować nasze błędne wyobrażenia o tym, jak „powinno być”."
